Nome,Long,Lat,Pop
BELO HORIZONTE,-43.926453,-19.937524,2521564
UBERLANDIA,-48.277950,-18.918999,699097
CONTAGEM,-44.066345,-19.943446,668949
JUIZ DE FORA,-43.348817,-21.760924,573285
BETIM,-44.197551,-19.965379,444784
MONTES CLAROS,-43.865422,-16.722707,413487
RIBEIRAO DAS NEVES,-44.085824,-19.766022,338197
UBERABA,-47.983625,-19.713535,337092
GOVERNADOR VALADARES,-41.947081,-18.852882,281046
IPATINGA,-42.520351,-19.481032,265409
SETE LAGOAS,-44.239595,-19.458287,241835
DIVINOPOLIS,-44.893886,-20.142074,240408
SANTA LUZIA,-43.850007,-19.767617,220444
IBIRITE,-44.056665,-20.028038,182153
POCOS DE CALDAS,-46.566410,-21.787364,168641
PATOS DE MINAS,-46.515916,-18.592571,153585
POUSO ALEGRE,-45.937144,-22.230303,152549
TEOFILO OTONI,-41.509635,-17.862540,140937
BARBACENA,-43.776193,-21.224915,138204
SABARA,-43.825557,-19.892495,137125
VARGINHA,-45.431886,-21.557080,136602
VESPASIANO,-43.919915,-19.693030,129765
CONSELHEIRO LAFAIETE,-43.788445,-20.660852,129606
ITABIRA,-43.223952,-19.638169,120904
ARAGUARI,-48.191605,-18.648270,117825
UBA,-42.936786,-21.118597,116797
PASSOS,-46.611413,-20.719212,115337
CORONEL FABRICIANO,-42.624347,-19.525053,110290
MURIAE,-42.361075,-21.132047,109392
ARAXA,-46.940010,-19.591330,107337
NOVA SERRANA,-44.985579,-19.875867,105520
ITUIUTABA,-49.462235,-18.973068,105255
LAVRAS,-44.999931,-21.242870,104783
ITAJUBA,-45.464583,-22.430601,97334
NOVA LIMA,-43.849783,-19.983893,96157
PARA DE MINAS,-44.605380,-19.864738,94808
PARACATU,-46.875419,-17.219742,93862
ITAUNA,-44.578277,-20.074436,93847
CARATINGA,-42.143707,-19.789635,92603
PATROCINIO,-46.997438,-18.940813,91449
MANHUACU,-42.033848,-20.258680,91169
TIMOTEO,-42.643942,-19.584050,90568
SAO JOAO DEL REI,-44.260973,-21.135509,90497
UNAI,-46.899957,-16.359008,84930
CURVELO,-44.428399,-18.755481,80616
ALFENAS,-45.948918,-21.428178,80494
JOAO MONLEVADE,-43.174571,-19.805639,80416
TRES CORACOES,-45.254937,-21.695966,80032
VICOSA,-42.879477,-20.752072,79388
CATAGUASES,-42.692085,-21.389248,75540
OURO PRETO,-43.506448,-20.386776,74558
JANAUBA,-43.307683,-15.799028,72018
ESMERALDAS,-44.314807,-19.759201,71551
SAO SEBASTIAO DO PARAISO,-46.986472,-20.918065,71445
JANUARIA,-44.359805,-15.487873,67852
FORMIGA,-45.426428,-20.464884,67822
LAGOA SANTA,-43.895288,-19.625851,65657
PEDRO LEOPOLDO,-44.045884,-19.618396,64712
MARIANA,-43.416140,-20.374493,61288
FRUTAL,-48.939154,-20.025898,60012
PONTE NOVA,-42.909684,-20.416643,59875
TRES PONTAS,-45.515475,-21.368770,56940
