Nome,Long,Lat,Pop
CURITIBA,-49.271848,-25.432956,1963726
LONDRINA,-51.162773,-23.312156,580870
MARINGA,-51.939882,-23.422280,436472
PONTA GROSSA,-50.161442,-25.092547,358838
CASCAVEL,-53.459722,-24.953798,336073
SAO JOSE DOS PINHAIS,-49.200082,-25.537702,334620
FOZ DO IGUACU,-54.587102,-25.542493,257971
COLOMBO,-49.227438,-25.294340,249277
GUARAPUAVA,-51.463431,-25.393592,183755
PARANAGUA,-48.524733,-25.506842,157378
ARAUCARIA,-49.401940,-25.591645,148522
TOLEDO,-53.741411,-24.732077,144601
APUCARANA,-51.459985,-23.551593,137438
CAMPO LARGO,-49.528841,-25.459491,135678
PINHAIS,-49.199197,-25.442198,134788
ARAPONGAS,-51.438280,-23.413517,126545
ALMIRANTE TAMANDARE,-49.300320,-25.313378,121420
PIRAQUARA,-49.065306,-25.446550,116852
UMUARAMA,-53.308460,-23.763950,113416
CAMBE,-51.277728,-23.281632,108126
FAZENDA RIO GRANDE,-49.323293,-25.641400,103750
SARANDI,-51.873682,-23.443172,98888
CAMPO MOURAO,-52.381115,-24.041223,96102
FRANCISCO BELTRAO,-53.056136,-26.078450,93308
PARANAVAI,-52.462402,-23.081879,89454
PATO BRANCO,-52.677362,-26.229959,84980
CIANORTE,-52.609151,-23.653813,84779
TELEMACO BORBA,-50.623123,-24.328686,80588
CASTRO,-50.002811,-24.795418,72125
ROLANDIA,-51.362780,-23.313592,68165
IRATI,-50.658048,-25.473736,61439
UNIAO DA VITORIA,-51.090610,-26.228435,58298
IBIPORA,-51.058034,-23.269331,55688
MARECHAL CANDIDO RONDON,-54.060008,-24.559254,54031
PRUDENTOPOLIS,-50.983575,-25.216021,52776
PALMAS,-51.988774,-26.481473,52503
LAPA,-49.718596,-25.765102,48651
CORNELIO PROCOPIO,-50.651484,-23.183258,47840
SAO MATEUS DO SUL,-50.390624,-25.869600,47137
MEDIANEIRA,-54.091782,-25.292498,46940
SANTO ANTONIO DA PLATINA,-50.077346,-23.297049,46503
CAMPINA GRANDE DO SUL,-49.053466,-25.303248,44072
PAICANDU,-52.052412,-23.457699,42251
DOIS VIZINHOS,-53.054836,-25.746010,41424
JACAREZINHO,-49.978573,-23.160116,39268
GUARATUBA,-48.575726,-25.874242,37974
MARIALVA,-51.798057,-23.484759,36103
MATINHOS,-48.533771,-25.816410,35705
JAGUARIAIVA,-49.712186,-24.253057,35192
QUEDAS DO IGUACU,-52.909832,-25.456781,34707
RIO NEGRO,-49.797685,-26.100408,34645
MANDAGUARI,-51.681252,-23.517452,34628
PALMEIRA,-50.003247,-25.418568,34109
GUAIRA,-54.246758,-24.085275,33497
ASSIS CHATEAUBRIAND,-53.521237,-24.408530,33306
IMBITUVA,-50.597473,-25.230613,33306
PINHAO,-51.648270,-25.696295,32722
RIO BRANCO DO SUL,-49.316714,-25.190165,32635
PALOTINA,-53.838772,-24.279409,32389
LARANJEIRAS DO SUL,-52.408847,-25.401682,32167
IVAIPORA,-51.674552,-24.241948,31886
IBAITI,-50.190666,-23.849821,31854
BANDEIRANTES,-50.371873,-23.092481,31061
CAMPO MAGRO,-49.427665,-25.367957,30151
PITANGA,-51.763154,-24.752748,29686
ITAPERUCU,-49.342864,-25.214470,29493
GOIOERE,-53.027319,-24.189188,28734
PONTAL DO PARANA,-48.448327,-25.594151,28529
ARAPOTI,-49.824829,-24.146569,28480
NOVA ESPERANCA,-52.204866,-23.184251,28062
MANDIRITUBA,-49.322783,-25.759621,27750
SAO MIGUEL DO IGUACU,-54.242121,-25.348894,27696
SANTA HELENA,-54.336453,-24.857096,27036
RESERVA,-50.850596,-24.651648,26933
ASTORGA,-51.669679,-23.236712,26304
PIRAI DO SUL,-49.941331,-24.532358,25779
CAMBARA,-50.077571,-23.041266,25569
COLORADO,-51.974416,-22.837898,24271
QUATRO BARRAS,-49.085189,-25.373745,24253
CARAMBEI,-50.113092,-24.950873,24225
SANTA TEREZINHA DE ITAIPU,-54.399519,-25.442161,23927
LOANDA,-53.134469,-22.930229,23393
MANDAGUACU,-52.094253,-23.342789,23373
ALTONIA,-53.891974,-23.870881,22293
ORTIGUEIRA,-50.926930,-24.212011,21783
SIQUEIRA CAMPOS,-49.831497,-23.687708,21476
JANDAIA DO SUL,-51.643395,-23.601179,21281
CRUZEIRO DO OESTE,-53.081822,-23.776905,20962
UBIRATA,-52.994506,-24.541035,20809
TIBAGI,-50.411470,-24.513288,20688
CORONEL VIVIDA,-52.567087,-25.978153,20430
SANTO ANTONIO DO SUDOESTE,-53.723083,-26.074975,20354
ANDIRA,-50.226408,-23.051752,19823
WENCESLAU BRAZ,-49.802985,-23.870423,19466
SENGES,-49.473019,-24.116810,19441
AMPERE,-53.473257,-25.917068,19388
QUITANDINHA,-49.496683,-25.868308,19358
CHOPINZINHO,-52.533960,-25.854684,19172
CAPANEMA,-53.800179,-25.682977,19083
ANTONINA,-48.712900,-25.430166,19082
CONTENDA,-49.531612,-25.680766,18919
CRUZ MACHADO,-51.347710,-26.017269,18783
CAFELANDIA,-53.324916,-24.615667,18772
MATELANDIA,-53.974387,-25.237921,18266
CERRO AZUL,-49.260317,-24.818947,17884
TERRA ROXA,-54.098514,-24.167484,17562
FAXINAL,-51.320106,-24.003927,17379
TERRA BOA,-52.462142,-23.766833,17304
CORBELIA,-53.296528,-24.799650,17295
