Nome;Long;Lat;Pop
SAO PAULO;-46,570383;-23,567387;12396372
GUARULHOS;-46,531084;-23,468506;1404694
CAMPINAS;-47,060156;-22,907343;1223237
SAO BERNARDO DO CAMPO;-46,550257;-23,710305;849874
SAO JOSE DOS CAMPOS;-45,884175;-23,184062;737310
SANTO ANDRE;-46,530874;-23,657510;723889
RIBEIRAO PRETO;-47,805476;-21,184835;720116
OSASCO;-46,788810;-23,533612;701428
SOROCABA;-47,457853;-23,499323;695328
MAUA;-46,458262;-23,669335;481725
SAO JOSE DO RIO PRETO;-49,381348;-20,812637;469173
MOGI DAS CRUZES;-46,196760;-23,522707;455587
SANTOS;-46,331371;-23,933738;433991
DIADEMA;-46,623381;-23,689295;429550
JUNDIAI;-46,885274;-23,187668;426935
PIRACICABA;-47,646846;-22,723722;410275
CARAPICUIBA;-46,841445;-23,535250;405375
BAURU;-49,083001;-22,325123;381706
ITAQUAQUECETUBA;-46,351603;-23,476898;379082
SAO VICENTE;-46,384491;-23,967373;370839
FRANCA;-47,402332;-20,536097;358539
PRAIA GRANDE;-46,412050;-24,003022;336454
GUARUJA;-46,249034;-23,995149;324977
TAUBATE;-45,556609;-23,026556;320820
LIMEIRA;-47,401940;-22,562194;310783
SUZANO;-46,307810;-23,536828;303397
TABOAO DA SERRA;-46,785780;-23,623329;297528
SUMARE;-47,265803;-22,822145;289875
BARUERI;-46,874653;-23,508902;279704
EMBU DAS ARTES;-46,850860;-23,647313;279264
INDAIATUBA;-47,212309;-23,081646;260690
COTIA;-46,931846;-23,603514;257882
SAO CARLOS;-47,889238;-22,015999;256915
AMERICANA;-47,330363;-22,740884;244370
ITAPEVI;-46,933373;-23,546934;244131
MARILIA;-49,951646;-22,214933;242249
ARARAQUARA;-48,174440;-21,790360;240542
HORTOLANDIA;-47,221097;-22,858395;237570
JACAREI;-45,969593;-23,304880;237119
PRESIDENTE PRUDENTE;-51,386766;-22,122744;231953
RIO CLARO;-47,563533;-22,412512;209548
ARACATUBA;-50,439226;-21,205476;199210
FERRAZ DE VASCONCELOS;-46,366553;-23,541545;198661
SANTA BARBARA D'OESTE;-47,413955;-22,755394;195278
ITAPECERICA DA SERRA;-46,850552;-23,715357;179574
FRANCISCO MORATO;-46,732527;-23,275826;179372
ITU;-47,299750;-23,265443;177150
BRAGANCA PAULISTA;-46,542333;-22,956896;172346
PINDAMONHANGABA;-45,462049;-22,926669;171885
ITAPETININGA;-48,046143;-23,587873;167106
SAO CAETANO DO SUL;-46,571515;-23,614705;162763
FRANCO DA ROCHA;-46,727875;-23,320303;158438
MOGI GUACU;-46,944474;-22,365720;154146
JAU;-48,558141;-22,295791;153463
BOTUCATU;-48,441289;-22,888382;149718
ATIBAIA;-46,555063;-23,116308;145378
SANTANA DE PARNAIBA;-46,922093;-23,449453;145073
ARARAS;-47,385830;-22,357087;136739
VALINHOS;-46,996630;-22,971244;133169
CUBATAO;-46,420032;-23,883839;132521
SERTAOZINHO;-47,991148;-21,137022;128432
JANDIRA;-46,905221;-23,529939;127734
BIRIGUI;-50,339329;-21,292392;126094
RIBEIRAO PIRES;-46,415344;-23,707423;125238
CARAGUATATUBA;-45,410818;-23,622007;125194
VOTORANTIM;-47,449738;-23,541871;124468
VARZEA PAULISTA;-46,829890;-23,214467;124269
ITATIBA;-46,837558;-23,004853;124254
TATUI;-47,849464;-23,348577;124134
BARRETOS;-48,567378;-20,558456;123546
GUARATINGUETA;-45,191600;-22,817425;123192
CATANDUVA;-48,975871;-21,139539;123114
SALTO;-47,292416;-23,204074;120779
POA;-46,346220;-23,528627;119221
OURINHOS;-49,868580;-22,977268;115139
PAULINIA;-47,154386;-22,759922;114508
ASSIS;-50,417510;-22,662835;105768
LEME;-47,388708;-22,185436;105273
ITANHAEM;-46,790991;-24,186121;104351
CAIEIRAS;-46,744101;-23,362116;104044
MAIRIPORA;-46,590196;-23,322459;103645
VOTUPORANGA;-49,974672;-20,419470;96106
CACAPAVA;-45,707730;-23,100664;95752
ITAPEVA;-48,877389;-23,983438;95241
MOGI MIRIM;-46,956367;-22,432696;94098
SAO ROQUE;-47,135423;-23,530359;93076
UBATUBA;-45,072091;-23,435965;92819
ARUJA;-46,320490;-23,395827;92453
SAO JOAO DA BOA VISTA;-46,796351;-21,972011;92315
AVARE;-48,923263;-23,103194;91792
SAO SEBASTIAO;-45,402680;-23,806688;91637
LORENA;-45,124248;-22,731693;89532
CAMPO LIMPO PAULISTA;-46,763819;-23,209396;86407
MATAO;-48,367748;-21,602995;84069
CRUZEIRO;-44,961732;-22,577750;82895
VINHEDO;-46,976476;-23,030538;81516
IBIUNA;-47,220491;-23,652633;80062
CAJAMAR;-46,882920;-23,360971;79034
LINS;-49,751423;-21,672347;78978
JABOTICABAL;-48,320350;-21,254471;78029
BEBEDOURO;-48,477362;-20,949816;77612
PIRASSUNUNGA;-47,425173;-21,994049;77330
ITAPIRA;-46,821248;-22,436005;75683
COSMOPOLIS;-47,196771;-22,645785;74662
AMPARO;-46,765086;-22,699389;73145
EMBU-GUACU;-46,817109;-23,831829;70402
PERUIBE;-46,997302;-24,319509;69697
FERNANDOPOLIS;-50,248748;-20,282383;69680
LENCOIS PAULISTA;-48,798682;-22,597507;69533
MOCOCA;-47,007171;-21,468991;69072
BERTIOGA;-46,136538;-23,854015;66154
TUPA;-50,514006;-21,934822;65615
ITUPEVA;-47,055701;-23,153410;64330
PENAPOLIS;-50,073036;-21,418383;64098
BATATAIS;-47,586107;-20,891930;63438
BOITUVA;-47,671473;-23,281944;63310
NOVA ODESSA;-47,293635;-22,782795;61716
MONTE MOR;-47,313269;-22,945522;61707
IBITINGA;-48,827695;-21,757083;61150
MIRASSOL;-49,512139;-20,817005;60768
JAGUARIUNA;-46,982343;-22,706782;59921
MONGAGUA;-46,619993;-24,094116;58567
SANTA ISABEL;-46,227013;-23,318089;58529
TAQUARITINGA;-48,506742;-21,410008;57547
ANDRADINA;-51,378848;-20,901464;57245
